label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,134,1486472,0.4875,0.208,0.7808,36.8702,85.4885,-28.6489
wave_right,134,1486492,0.4355,0.365,0.7888,41.0382,75.2366,-29.3588
wave_right,134,1486512,0.4199,0.3936,0.7412,41.4809,65.9924,-20.3053
wave_right,134,1486532,0.4451,0.3752,0.7456,42.2672,65.1985,-14.6183
wave_right,134,1486552,0.4365,0.2798,0.7908,42.9313,60.9008,-33.8168
wave_right,134,1486572,0.3464,0.3748,0.8259,45.0076,47.7634,-47.1374
wave_right,134,1486592,0.3313,0.4873,0.8037,44.9084,29.1145,-38.4885
wave_right,134,1486612,0.3604,0.5044,0.7485,43.771,19.145,-20.9542
wave_right,134,1486632,0.3774,0.4443,0.6941,43.5267,17.3817,-27.3359
wave_right,134,1486652,0.3877,0.5613,0.7097,48.1145,13.0992,-44.9466
wave_right,134,1486672,0.3167,0.7585,0.699,47.0534,4.5573,-49.6947
wave_right,134,1486692,0.2502,0.8696,0.6812,32.9847,-8.7939,-53.8015
wave_right,134,1486712,0.1812,1.1392,0.697,15.7252,-16.1756,-59.458
wave_right,134,1486732,0.146,1.3027,0.6863,-7.8397,-28.4504,-44.7252
wave_right,134,1486752,0.1736,1.2571,0.6912,-35.2824,-41.4122,-48.4275
wave_right,134,1486772,0.2244,1.2041,0.6594,-66.0229,-57.7405,-77.2137
wave_right,134,1486792,0.2493,1.3398,0.635,-98.6107,-71.7099,-82.4504
wave_right,134,1486812,0.3596,1.2896,0.5669,-133.0458,-83.5649,-48.2595
wave_right,134,1486832,0.4431,1.0334,0.4839,-157.8015,-81.3969,-40.5954
wave_right,134,1486852,0.5269,0.8564,0.5359,-172.1298,-83.5725,-43.8092
wave_right,134,1486872,0.5698,0.8411,0.5256,-182.8931,-83.9313,-33.916
wave_right,134,1486892,0.533,0.8176,0.5098,-187.9008,-81.4351,8.374
wave_right,134,1486912,0.5442,0.6567,0.4854,-191.5573,-70.6031,49.5267
wave_right,134,1486932,0.5544,0.3804,0.5049,-196.3206,-65.2977,65.7252
wave_right,134,1486952,0.6379,0.2461,0.584,-197.2366,-69.4198,37.1069
wave_right,134,1486972,0.7629,0.106,0.5496,-188.1527,-70.2519,-2.1756
wave_right,134,1486992,0.8665,-0.0439,0.4243,-177.4886,-52.3817,-56.8321
wave_right,134,1487012,0.8086,0.075,0.519,-172.7634,-36.5725,-71.8473
wave_right,134,1487032,0.8196,0.1536,0.6194,-165.3053,-29.8626,-37.2672
wave_right,134,1487052,0.8074,0.0107,0.6133,-160.9008,-32.1221,-5.7328
wave_right,134,1487072,0.8511,-0.1877,0.5613,-161.7481,-29.3359,-18.3359
wave_right,134,1487092,0.8154,-0.1729,0.6157,-163.313,-29.6031,-35.3588
wave_right,134,1487112,0.7634,-0.0974,0.6304,-167.4657,-28.2366,-24.2748
wave_right,134,1487132,0.717,-0.1389,0.5864,-169.9771,-26.8931,16.5878
wave_right,134,1487152,0.6262,-0.0872,0.563,-180.2901,-31.4046,65.2672
wave_right,134,1487172,0.7275,-0.5129,0.499,-187.5496,-25.0153,59.3435
wave_right,134,1487192,0.5815,-0.3943,0.6277,-196.0305,-22.9618,68.2748
wave_right,134,1487212,0.4961,-0.4355,0.6741,-179.6488,-44.8397,104.3664
wave_right,134,1487232,0.6116,-0.8452,0.5405,-164.0763,-54.7023,93.8855
wave_right,134,1487252,0.6143,-0.8267,0.5024,-159.5802,-53.5573,72.1603
wave_right,134,1487272,0.6763,-0.9971,0.4131,-135.0611,-41.5725,53.1221
wave_right,134,1487292,0.7112,-0.9404,0.4604,-100.1832,-25.4656,11.1832
wave_right,134,1487312,0.6821,-0.8564,0.4695,-73.458,-13.4733,5.2137
wave_right,134,1487332,0.6511,-0.8391,0.4944,-56.5496,-2.3282,7.313
wave_right,135,1490864,0.8372,0.2356,0.7207,50.5191,65.7405,-25.6489
wave_right,135,1490884,0.8547,0.2864,0.7295,45.6336,68.3053,-23.0
wave_right,135,1490904,0.8816,0.2654,0.7554,43.1832,78.6794,-18.916
wave_right,135,1490924,0.8958,0.219,0.8105,42.6794,83.0992,-26.542
wave_right,135,1490944,0.8955,0.2202,0.8247,43.2519,90.9237,-48.1527
wave_right,135,1490964,0.7788,0.3008,0.8022,38.7557,91.687,-51.8168
wave_right,135,1490984,0.7268,0.2781,0.8027,35.4656,90.8015,-42.1298
wave_right,135,1491004,0.7405,0.2041,0.8154,35.6107,94.5649,-41.229
wave_right,135,1491024,0.6887,0.1836,0.874,40.0916,93.0382,-54.1756
wave_right,135,1491044,0.5542,0.2954,0.8953,38.2824,78.8473,-41.8015
wave_right,135,1491064,0.4763,0.3555,0.8403,32.5115,63.8473,-19.2366
wave_right,135,1491084,0.5234,0.2415,0.7495,27.5954,63.8855,-7.9618
wave_right,135,1491104,0.4597,0.1885,0.7781,30.1374,66.9542,-24.0687
wave_right,135,1491124,0.3406,0.2583,0.8342,33.4046,51.7405,-33.6565
wave_right,135,1491144,0.261,0.3386,0.8076,36.2901,28.542,-29.084
